feature,importance
LSTAT,0.24677055853002738
RM,0.22723936133092343
PT,0.07549705387736316
INDUS,0.06105348679547798
NOX,0.05854398558025902
TAX,0.05665709128322057
CHAS,0.04434986964677226
RAD,0.04422514287224391
CRIM,0.044047215117905436
B,0.04154586649905486
DIS,0.04109722061040739
AGE,0.03424346775977527
ZN,0.024729680096569236
